id,name,description
route-01,Route 01,M.G. Point - S. N. PET SBI BANK - Patel Nagar - Punjab National Bank - Raghavendra Swamy Temple - Cool Corner - KEB 1st Gate - BITM
route-02,Route 02,Satyanarayana Temple - Bandihatti - Kendriya Vidyalaya 5th Cross - Azad Nagar Ground - Near Canal (Belagal Road) - G-Square - BITM
route-03,Route 03,Teachers Colony - Mohammadia School - Select Talkies - SBI ATM - Cowl Bazaar Police Station - Babu Chowk - Kunitana Masjid - BITM
route-04,Route 04,APMC Govt. School - Masjid - Benki Maremma Temple - Brucepet Police Station - Maruthi Colony - Mothi - Belagal Cross - BITM
route-05,Route 05,Water Booster (Basaveswara Nagar) - Kumaraswamy Temple - KMF Milk Dairy - M. K. Nagar - Ambedkar School - Huligamma Temple - Satyavani Nagar 3rd Cross - BITM
route-06,Route 06,Canal (Talur Road) - Sai Travels - Shanthi Niketan School - Basava Bhavan - Police Gymkhana - BJP Office - BITM
route-07,Route 07,SIRWAR - Kappagal - Sanganakal - Sukrutha Nursing Home - BITM
route-08,Route 08,J. K. LAYOUT TALUR ROAD - Bala Bharathi School - Govindappa Kalyana Mantapa - Sneha Colony - Reddy Hotel - BITM
route-09,Route 09,Gangappa Gin - Sharada Medical Store - Union Bank - BITM
route-10,Route 10,Kanekal Bus Stand - Dr. Vali Basha - Vinayaka Temple - Raghavendra Theatre - Karnataka Function Hall - BITM
route-11,Route 11,Vidya Nagar Mary Matha Church - Heera Hardware - Vidyanagar Water Tank - Surya Apartment - Batri Circle - Vidyanagar 5th cross - Vidyanagar Circle - OPD - BITM
route-14,Route 14,Dream World School - Kappagal Road 3rd cross Sadashivanagar - Kappagal Road Brahmaiah Temple - Kappagal Road 7th cross - Kappagal Road 5th cross - BITM
route-16,Route 16,Taranath Hospital - BPSC School - R. R. Theatre - Pavan Hotel - Royal Circle - Mothi - Radio Park Ayyappa Swamy Temple - BITM
route-17,Route 17,KAKARLA THOTA - Guggarahatti Gate - Check Post - APMC Gate - St. Joseph School Backside Circle - Nalanda College - Nandi School - Tilak Nagar - BITM
route-19,Route 19,ANDRAL Petrol Bunk - Bapujinagar Circle - Beerappa Temple - BITM
route-20,Route 20,HP Petrol Bunk Havambhavi - Classic Function Hall - Canal Havambhavi - Chaitanya Girls College - Shivagiri Nagar - Sriramulu Office - BBC College - S. P. Circle - BITM
route-21,Route 21,Basaveswara Nagar Kids School - Basaveswara Temple - R. K. Hospital / MMTC - BITM
route-22,Route 22,Kutty Hotel - Fort Sai Baba Temple - Fort Masjid - Radio Park 2nd Gate - Yerrithatha Bakery - Kuvempu Nagar 4th cross - Kuvempu Nagar 3rd cross - BITM
route-23,Route 23,Vajpayee Layout - Bharath Milk Dairy - Maremma Temple - KEB - Suryanarayana Office - Gandhinagar 3rd cross - BITM
route-24,Route 24,Royal Enfield (Bullet) Showroom - Water Tank Raghavendra Colony - Uma Maheswara Kalyana Mantapa - Sanna Durgamma Temple - BITM
route-25,Route 25,Kappagal Road Bharath Nursing Home - Vishal Mart (OPD Cross) - SBI Bank - Devi Nagar - Hotel Rock Garden - Reliance Digital Mart - Vasavi School - Old Canara Bank (OPD Cross) - BITM
